name,amigo2_0_10,amigo2_0_100,odepe,odepe_polish,sciml
biohydrogenation,1.7885,11.0947,0.3805,0.3768,0.5905
daisy_mamil4,0.7204,3.4455,1.3202,1.2384,0.2379
crauste,0.5537,1.8285,0.9329,0.9735,0.1663
seir,0.8596,0.8098,0.5053,0.4968,0.1989
hiv,0.5724,1.7802,0.204,0.2003,0.09
lotka_volterra,0.3502,0.8043,0.5513,0.5478,0.1277
daisy_mamil3,0.1999,0.2274,0.4713,0.4624,0.1073
slowfast,0.4438,0.4529,0.0295,0.0336,0.0359
fitzhugh_nagumo,0.0458,0.03,0.0875,0.0766,0.0701
harmonic,0.0002,0.0002,0.0002,0.0002,0.0123
vanderpol,0.0009,0.0009,0.0007,0.0007,0.0009
